City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
128,kapa'a,22.0752,-159.319,89.58,76,100,20.71,US,1691635263
129,pisco,-13.7,-76.2167,66.25,77,20,13.8,PE,1691635263
130,kayangel,8.0823,134.7173,81.46,80,71,16.58,PW,1691635263
131,kerikeri,-35.2268,173.9474,57.9,81,22,1.99,NZ,1691635263
132,constantia,44.1833,28.65,65.08,71,77,14.0,RO,1691635263
133,laguna,38.421,-121.4238,85.98,40,0,9.22,US,1691635263
134,xinmin,41.9908,122.8253,79.75,60,0,16.08,CN,1691635263
135,uttar char fasson,22.2332,90.7132,80.53,85,100,8.66,BD,1691635264
136,broome,42.2506,-75.833,67.35,93,95,1.01,US,1691635265
137,glen innes,-29.7333,151.7333,58.68,41,2,13.42,AU,1691635265
138,mohr,54.3528,9.7167,55.54,85,100,4.61,DE,1691635265
139,tolanaro,-25.0319,46.9987,66.27,94,40,4.61,MG,1691635265
140,stephenville,32.2207,-98.2023,98.73,28,0,8.05,US,1691635266
141,ouesso,1.6136,16.0517,69.62,98,100,2.13,CG,1691635266
142,cole harbour,44.6724,-63.4751,67.96,95,79,12.66,CA,1691634970
143,northam,51.0333,-4.2167,62.62,86,1,9.95,GB,1691635266
144,kattivakkam,13.2167,80.3167,82.49,80,100,13.56,IN,1691635267
145,al kharijah,25.4514,30.5464,83.37,22,0,8.81,EG,1691634969
146,bishkul,54.7803,69.1033,66.54,77,0,8.95,KZ,1691635267
147,mount pearl,47.5166,-52.7813,54.95,93,100,13.8,CA,1691635015
148,usinsk,65.9939,57.5281,55.83,68,4,9.4,RU,1691635267
149,heroica caborca,30.7167,-112.15,93.11,31,0,9.64,MX,1691635267
150,solnechnyy,50.7214,136.6319,65.75,64,100,6.8,RU,1691635267
151,saipan,15.1355,145.701,79.65,100,100,12.66,MP,1691635267
152,vangaindrano,-23.35,47.6,65.05,93,38,2.55,MG,1691635267
153,preobrazheniye,42.9019,133.9064,66.85,97,100,12.84,RU,1691635268
154,lebu,-37.6167,-73.65,52.34,88,43,13.31,CL,1691635208
155,nogliki,51.8333,143.1667,58.91,82,100,10.16,RU,1691635268
156,gisborne,-38.6533,178.0042,54.05,65,100,8.84,NZ,1691635268
157,kodiak,57.79,-152.4072,54.91,88,100,5.75,US,1691634990
158,stanley,54.868,-1.6985,61.79,92,40,2.3,GB,1691635268
159,beledweyne,4.7358,45.2036,72.57,80,34,13.71,SO,1691635268
160,kili,5.6439,169.1211,81.86,76,100,7.02,MH,1691635268
161,puerto baquerizo moreno,-0.9,-89.6,74.55,81,76,6.33,EC,1691635268
162,vadso,70.0744,29.7487,65.28,82,0,5.75,NO,1691635269
163,tome,-36.6167,-72.95,54.21,86,100,11.86,CL,1691635269
164,nueva ocotepeque,14.4333,-89.1833,70.95,93,52,3.0,HN,1691635269
165,machico,32.7,-16.7667,75.83,80,40,9.22,PT,1691635269
166,port alfred,-33.5906,26.891,58.17,90,0,4.0,ZA,1691635269
167,gwadar,25.1216,62.3254,80.56,80,82,6.62,PK,1691635269
168,villa gesell,-37.2639,-56.973,55.06,95,97,12.46,AR,1691635057
169,anadyr,64.75,177.4833,57.7,67,75,11.18,RU,1691635269
170,st. john's,47.5649,-52.7093,55.78,93,100,13.8,CA,1691635113
